Attractive,Oval_Face,Pale_Skin,Young,Big_Nose,5_o_Clock_Shadow,Bags_Under_Eyes,Narrow_Eyes,Arched_Eyebrows,Big_Lips,Black_Hair,Blond_Hair,Brown_Hair,Gray_Hair,High_Cheekbones,Rosy_Cheeks,onehot,count
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0001000000000000,6171
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1001000000000000,3367
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,2675
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0001000000100000,2539
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1001000000001000,2494
1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1101000000001010,2463
1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1101000000000010,2405
1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1101000000100010,2278
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0001000000001000,2229
1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1101000000010010,2035
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1001000000100000,1856
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1001000010000000,1815
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1101000000000000,1626
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1101000000001000,1611
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1001000000000010,1607
1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1001000000001010,1446
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1001000000010000,1407
1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1101000000100000,1354
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0000101000000000,1323
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0000100000000000,1281
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0101000000000000,1262
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0001000000000010,1254
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1001000000010010,1197
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1001000010001000,1194
1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1001000011000000,1178
1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1001000000100010,1117
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0000101000000100,1077
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0001000000010000,1048
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1001000001000000,1023
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0001010000000000,979
1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1101000000010000,929
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1001000010000010,928
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1001000010010000,905
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0000101000000010,891
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0001000001000000,880
1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1101000010010010,849
1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1001000010010010,844
1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1001000010100000,811
1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1001000011001000,810
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0001000000100010,791
1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1001000010001010,777
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0000000000000010,776
0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0000101000000110,774
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0001100000000000,773
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0101000000000010,771
1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1101000010001010,761
1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1001000001001000,759
1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1101000010000010,758
1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1001000011100000,753
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0101000000100000,750
1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1001010000100000,711
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0001000100000000,698
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0000100000000100,696
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0001000010000000,690
1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1101000010010011,685
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0001000000001010,676
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0001010000100000,675
1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1101000010100010,673
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0000001000000000,664
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1001010000000000,656
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0000000000000100,633
1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1001000011000010,627
1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1001000011001010,627
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0000000000100000,624
1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1001000001010000,600
1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1001000010100010,590
1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1001000011010000,590
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0100000000000000,586
0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0101000000100010,583
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0101000000001000,581
0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0001000001100000,580
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0001001000000000,555
